,price,market_cap,volume
2024-07-02,3441.0957866746658,413087026853.55963,11844927571.819813
2024-07-03,3417.451942762224,410850514007.59125,8596581619.331047
2024-07-04,3296.522915227887,395971730267.60034,15649520903.284525
2024-07-05,3060.124943770415,367008061943.9714,21334559951.780132
2024-07-06,2977.4702351415144,358878418412.549,31289717046.661446
2024-07-07,3060.252141289412,368279414918.9943,10931542404.724466
2024-07-08,2927.2717943174675,351847099756.408,10235473405.110188
2024-07-09,3019.4381940236212,362949679476.64594,20815583397.7395
