timestamp,price,market_cap,volume
2024-07-14 21:06:45.508,60067.87504727605,1184391563043.5464,21736267359.012505
2024-07-14 22:09:22.032,61154.25049027309,1207577623970.1396,22798556271.7742
2024-07-14 23:10:24.402,60853.24309488443,1199819940507.0981,23220355906.184772
2024-07-15 00:09:21.002,60881.48885782499,1198219055697.0378,22630437159.2644
2024-07-15 01:07:36.227,61229.480385878865,1208039877131.4185,15659193395.278605
2024-07-15 02:03:20.503,61426.756346514296,1208098438349.4531,22340763303.770252
2024-07-15 03:02:13.357,62576.12941558953,1234142814396.2112,23897970422.167255
2024-07-15 04:03:25.138,62652.102418708375,1237292866238.0608,26494126239.995396
2024-07-15 05:09:49.582,62601.21539596413,1236293862902.4478,26191551117.459244
2024-07-15 06:11:27.097,62758.97597203408,1237197784665.5496,26093293011.765377
2024-07-15 07:05:36.325,62949.67638884755,1242296594880.761,25256167382.033726
2024-07-15 08:03:18.690,62890.40632199661,1240220384079.1416,27415605475.972946
2024-07-15 09:06:54.460,62780.86549256509,1240603499466.7454,27209964662.47009
2024-07-15 10:08:29.337,62751.71811398488,1236485611090.645,28510203256.99575
2024-07-15 11:11:24.499,62580.176000609245,1234894592854.3618,28375150767.748158
2024-07-15 12:04:06.838,62468.314406226025,1234269060458.6543,29085486788.801594
2024-07-15 13:06:50.037,62732.57146771641,1235337793640.7488,29220358958.39241
2024-07-15 14:11:55.503,62865.69466528791,1240620204873.0767,30491049780.702133
2024-07-15 15:08:05.395,63270.41832525062,1247673358941.2263,25058836453.533073
2024-07-15 16:03:00.311,63072.320176727175,1244164966240.0413,32275669483.903492
2024-07-15 17:07:31.234,63281.61714686876,1253015883659.741,34014530145.1467
2024-07-15 18:03:47.821,63128.74570297137,1248184824546.9724,35397390546.68881
2024-07-15 19:05:08.379,63556.877053620046,1253727469297.98,36811734619.93402
2024-07-15 20:03:47.154,63425.52176425553,1249339198793.247,39010332619.06241
2024-07-15 21:08:34.458,63765.75236709564,1258453072962.4402,28384342617.019176
2024-07-15 22:11:20.785,63705.15201182238,1253693882501.5354,37760808051.111824
2024-07-15 23:06:48.732,64315.59239185009,1269605481737.5305,39141033441.573135
2024-07-16 00:09:59.658,64894.80923587094,1277806993830.5176,40094042069.0735
2024-07-16 01:04:14.722,64636.81716840933,1276272055792.1128,38289450379.6534
2024-07-16 02:11:56.362,64781.59633903313,1278094970521.5796,39566428961.41476
2024-07-16 03:05:20.442,64885.241268445745,1280357527897.922,38148803829.95945
2024-07-16 04:05:09.705,64774.95557913305,1277630910579.331,35551336010.952835
2024-07-16 05:00:09.470,64516.59579834891,1272774882264.1213,26565525291.932785
2024-07-16 06:06:20.553,63630.04229989184,1256056678514.8928,35187387302.7372
2024-07-16 07:06:05.601,62801.117747491146,1238369823801.8396,36025346749.84402
2024-07-16 08:00:58.634,62909.93699601887,1240980667624.189,37993536832.951965
2024-07-16 09:07:46.728,62768.69454731729,1239224914244.3606,37881739316.20922
2024-07-16 10:09:00.330,63136.05202803013,1246688881290.3594,40977866143.00891
2024-07-16 11:01:11.759,63481.47969338322,1252246905284.6006,39273498003.03517
2024-07-16 12:04:52.927,63795.90436231302,1259582568112.4067,41139374342.817955
2024-07-16 13:06:19.874,63774.623843572,1258044122435.5818,42811680263.12982
2024-07-16 14:07:30.507,63179.658545696824,1258687897611.4768,43195046978.10325
2024-07-16 15:08:31.879,63898.0794376149,1260686934608.4902,43133058814.38941
2024-07-16 16:07:05.641,65235.73062171311,1280647152247.0176,44555551326.064445
2024-07-16 17:04:30.090,64435.20570024861,1271079216624.989,41675584099.05103
2024-07-16 18:02:21.050,64566.00222661687,1273257876873.9507,44611827785.65898
2024-07-16 19:02:47.814,64780.92991307614,1277901985644.245,42472660515.11394
2024-07-16 20:10:52.288,65144.970819556984,1282972700948.1218,40720833388.180466
2024-07-16 21:09:20.075,64772.756090466675,1278467072348.1025,44727936521.65289
2024-07-16 22:06:29.181,64566.06071322991,1273485663935.1357,44088070114.984375
2024-07-16 23:08:12.343,64698.987079558225,1275302846021.1108,42544975954.96511
2024-07-17 00:08:06.489,65178.21786410649,1284653025077.5898,43816446896.52314
2024-07-17 01:10:33.147,65621.07086132235,1293594436301.3867,43718907645.45618
2024-07-17 02:02:01.220,65663.96246100322,1295330399065.124,41949419627.86558
2024-07-17 03:09:20.596,65724.43070784534,1294729737464.8145,44846565116.23148
2024-07-17 04:04:04.908,65727.38563188832,1297158733735.7537,43745660832.54102
2024-07-17 05:13:31.338,65866.76728301505,1299312058484.811,44497649545.40625
2024-07-17 06:07:20.297,65691.81355407793,1296056051873.1753,41774716294.22397
2024-07-17 07:12:18.701,65580.27545006957,1293758849330.9307,41059067848.29795
2024-07-17 08:09:39.645,65316.587628053414,1288494680335.8708,34140383043.666367
2024-07-17 09:05:20.758,65203.83934198469,1286370501842.567,40155832419.824974
2024-07-17 10:09:10.870,65209.820079650875,1289182468973.7727,39937359343.20394
2024-07-17 11:06:42.732,65077.63026247519,1284702802585.6035,39023412200.279396
2024-07-17 12:08:40.018,64838.2623882498,1278243755278.6243,37070183660.85265
2024-07-17 13:03:46.557,64734.50728516352,1277011345967.214,37555546233.88724
2024-07-17 14:10:54.493,65021.51236363203,1286679056656.2808,36152630471.45819
2024-07-17 15:04:56.636,65024.15480192185,1285133640725.9583,36322786508.37706
2024-07-17 16:08:40.207,64689.74595192153,1277190883493.2664,36610913720.62583
2024-07-17 17:07:50.908,64340.502941883205,1268775649045.7773,34736521244.16974
2024-07-17 18:07:41.357,64246.41763737234,1269625756363.3513,36773910442.063156
2024-07-17 19:08:25.414,64576.21887222642,1272209429013.5544,36370624346.860435
2024-07-17 20:05:14.204,64591.54908451396,1274200072452.1702,35597678031.00111
2024-07-17 21:00:39.330,64523.47476463111,1272858006426.0405,34852443248.101524
