timestamp,current_price,volume
2024-05-26,69313.36213644143,18860208700.791588
2024-05-27,68496.17323161339,14199473067.021713
2024-05-28,69400.79281064222,20579431612.494034
2024-05-29,68316.63588049631,31278122196.184998
2024-05-30,67567.01198488162,20868283313.639233
2024-05-31,68363.45934478674,24965246314.139412
2024-06-01,67474.95483698409,19685305476.459476
2024-06-02,67706.83441632692,10525290789.514553
2024-06-03,67749.92965318475,11315254530.68109
2024-06-04,68809.78520249174,25735381259.850346
2024-06-05,70542.10192339358,31807659919.933342
2024-06-06,71054.14439841534,32449132584.340324
2024-06-07,70773.74598776827,23542405680.725166
2024-06-08,69260.21173528439,34530240693.47627
2024-06-09,69305.38413230315,12847962289.456978
2024-06-10,69600.84597186842,12177078985.637917
2024-06-11,69520.05675455675,19755471122.513855
2024-06-12,67336.41055827447,38503303439.89571
2024-06-13,68250.38321594121,30880073389.454483
2024-06-14,66745.98686951792,29506603884.006653
2024-06-15,66011.07873713733,27966992832.749634
2024-06-16,66187.58290904516,11107057140.911947
2024-06-17,66641.99217178098,12698287939.453571
2024-06-18,66468.50010784055,30049658959.765854
2024-06-19,65158.982657156404,41391180622.30078
2024-06-20,64961.6067876583,18985779553.29328
2024-06-21,64809.214057093726,26067786145.28478
2024-06-22,64149.79941613572,26954704933.12858
2024-06-23,64260.022910575986,9186908534.045507
2024-06-24,63145.109668793826,10966025709.785603
2024-06-25,60255.90067814506,42172238343.91452
2024-06-26,61816.78432593399,27526244279.234383
2024-06-27,60843.93972362755,23077426331.55147
2024-06-28,61562.64532550036,18855138893.067604
2024-06-29,60316.28035475196,24437576813.719707
2024-06-30,60890.08807082841,12232706658.8262
2024-07-01,62648.97425011764,17690796993.25519
2024-07-02,62826.911179904506,26090135677.990852
2024-07-03,62069.99123220051,19352215291.544132
2024-07-04,60182.99341375096,30392404224.147316
2024-07-05,56964.89845388565,43785056555.930504
2024-07-06,56629.385370653035,60093024057.19495
2024-07-07,58336.39320841542,19881710912.92408
2024-07-08,55665.50758753673,20693720369.153324
2024-07-09,56656.077519140876,37441905810.69542
2024-07-10,58024.67810475922,28449155212.757774
2024-07-11,57602.44949167954,26116004979.33151
2024-07-12,57338.42217109978,29445698668.41561
2024-07-13,57876.37384720089,25477303555.308113
2024-07-14,59243.90724033287,14012758672.969776
2024-07-15,60881.48885782499,22630437159.2644
2024-07-16,64894.80923587094,40094042069.0735
2024-07-17,65178.21786410649,43816446896.52314
2024-07-18,64101.49229397971,33430369739.12787
2024-07-19,63975.96715356269,24035686607.754494
2024-07-20,66659.36403104197,37361157041.72066
2024-07-21,67104.22118882959,18881443362.220337
2024-07-22,68167.78452534138,20685853575.840492
2024-07-23,67620.04159250173,42196800331.00193
2024-07-24,65942.41746522837,36100536095.18872
2024-07-25,65403.53513022529,28680123269.715443
